neighborhood,ward,bedrooms,pct.of.ward,pct.of.neighborhood
ALCOTT PARK,0272,1101,0.6672727272727272,0.6717510677242221
ALCOTT PARK,0273,538,0.41448382126348227,0.3282489322757779
ALVERNO,0280,463,0.19568892645815722,1
ARLINGTON GARDENS,0075,1395,1,0.5588942307692307
ARLINGTON GARDENS,0076,161,0.1358649789029536,0.06450320512820513
ARLINGTON GARDENS,0077,940,0.7035928143712575,0.3766025641025641
ARLINGTON HEIGHTS,0113,384,0.24489795918367346,0.08731241473396999
ARLINGTON HEIGHTS,0114,1111,1,0.25261482492041837
ARLINGTON HEIGHTS,0115,2077,1,0.47226011823556163
ARLINGTON HEIGHTS,0116,319,0.24519600307455802,0.07253296953160528
ARLINGTON HEIGHTS,0118,507,0.33029315960912053,0.11527967257844475
AVENUES WEST,0189,2,0.003875968992248062,0.001394700139470014
AVENUES WEST,0190,87,0.8285714285714286,0.060669456066945605
AVENUES WEST,0191,25,0.9259259259259259,0.017433751743375175
AVENUES WEST,0192,465,0.9728033472803347,0.32426778242677823
AVENUES WEST,0193,172,0.10129564193168433,0.1199442119944212
AVENUES WEST,0194,195,1,0.13598326359832635
AVENUES WEST,0195,254,0.6529562982005142,0.17712691771269176
AVENUES WEST,0196,234,0.17835365853658536,0.16317991631799164
BARAN PARK,0249,363,0.22448979591836735,1
BAY VIEW,0241,1605,1,0.08790185661865381
BAY VIEW,0242,1328,1,0.07273125581904814
BAY VIEW,0243,1601,1,0.08768278657100607
BAY VIEW,0244,1413,1,0.07738649433156251
BAY VIEW,0245,1250,1,0.0684593898899173
BAY VIEW,0246,2251,1,0.12328166931376308
BAY VIEW,0247,1133,1,0.06205159099622104
BAY VIEW,0248,2218,1,0.12147434142066926
BAY VIEW,0249,16,0.009894867037724181,8.762801905909415e-4
BAY VIEW,0292,72,0.04838709677419355,0.003943260857659237
BAY VIEW,0295,1154,0.7964113181504486,0.06320170874637165
BAY VIEW,0296,346,0.1987363584147042,0.018949559121529107
BAY VIEW,0297,1444,1,0.07908428720083246
BAY VIEW,0298,1322,1,0.07240265074757654
BAY VIEW,0300,1,4.6274872744099955e-4,5.476751191193384e-5
BAY VIEW,0301,434,0.20346929207688702,0.023769100169779286
BAY VIEW,0325,671,1,0.03674900049290761
BLUEMOUND HEIGHTS,0206,318,0.2713310580204778,0.09549549549549549
BLUEMOUND HEIGHTS,0207,1527,1,0.45855855855855854
BLUEMOUND HEIGHTS,0208,1424,1,0.4276276276276276
BLUEMOUND HEIGHTS,0209,61,0.04244954766875435,0.01831831831831832
BORCHERT FIELD,0112,706,0.4363411619283066,0.2035168636494667
BORCHERT FIELD,0113,1184,0.7551020408163265,0.3413087345056212
BORCHERT FIELD,0116,982,0.754803996925442,0.28307869703084465
BORCHERT FIELD,0117,597,0.4041976980365606,0.17209570481406747
BRADLEY ESTATES,0014,7,0.1891891891891892,0.004380475594493116
BRADLEY ESTATES,0015,1591,0.9875853507138423,0.9956195244055068
BREWER'S HILL,0141,20,0.01762114537444934,0.013821700069108501
BREWER'S HILL,0175,134,0.4281150159744409,0.09260539046302695
BREWER'S HILL,0177,1293,0.688865210442195,0.8935729094678645
BRYNWOOD,0013,47,0.04845360824742268,0.6527777777777778
BRYNWOOD,0014,5,0.13513513513513514,0.06944444444444445
BRYNWOOD,0015,20,0.012414649286157667,0.2777777777777778
BUCHEL PARK,0009,41,0.030597014925373135,1
BURNHAM PARK,0217,1598,0.8509052183173589,0.28128850554479845
BURNHAM PARK,0218,1885,0.7946880269814502,0.3318077803203661
BURNHAM PARK,0221,2198,0.8565861262665627,0.38690371413483543
CALUMET FARMS,0006,452,0.19063686208350908,0.3656957928802589
CALUMET FARMS,0008,784,0.338368580060423,0.6343042071197411
CAMBRIDGE HEIGHTS,0127,1374,0.6205962059620597,0.7006629270780215
CAMBRIDGE HEIGHTS,0128,587,0.23583768581759743,0.2993370729219786
CANNON PARK,0210,924,1,0.6548547129695251
CANNON PARK,0211,487,0.4095878889823381,0.34514528703047487
CAPITOL HEIGHTS,0070,2005,0.8319502074688797,0.35822762194032515
CAPITOL HEIGHTS,0071,794,0.5603387438249824,0.141861711631231
CAPITOL HEIGHTS,0072,1142,0.5826530612244898,0.20403787743433982
CAPITOL HEIGHTS,0073,373,0.18221787982413287,0.06664284438091835
CAPITOL HEIGHTS,0074,1269,1,0.2267286046096123
CAPITOL HEIGHTS,0076,14,0.01181434599156118,0.002501340003573343
CASTLE MANOR,0308,45,0.06818181818181818,0.019902697921273773
CASTLE MANOR,0309,2216,1,0.9800973020787263
CLARKE SQUARE,0220,265,0.16227801592161667,0.056696619597774923
CLARKE SQUARE,0225,532,0.2749354005167959,0.11382113821138211
CLARKE SQUARE,0226,826,1,0.17672229353872487
CLARKE SQUARE,0227,620,0.5688073394495413,0.1326486949080017
CLARKE SQUARE,0228,951,0.6861471861471862,0.20346598202824134
CLARKE SQUARE,0229,716,0.4676681907250163,0.15318784766795038
CLARKE SQUARE,0320,44,1,0.009413778348309799
CLARKE SQUARE,0321,720,1,0.1540436456996149
CLAYTON CREST,0312,1804,1,1
CLOCK TOWER ACRES,0239,145,0.09533201840894148,0.12510785159620363
CLOCK TOWER ACRES,0240,1014,0.7396061269146609,0.8748921484037964
COLD SPRING PARK,0193,147,0.08657243816254417,0.10575539568345324
COLD SPRING PARK,0199,198,0.38976377952755903,0.14244604316546763
COLD SPRING PARK,0200,1045,0.9858490566037735,0.7517985611510791
COLLEGE HEIGHTS,0315,960,0.4067796610169492,1
COLUMBUS PARK,0072,818,0.4173469387755102,0.20985120574653668
COLUMBUS PARK,0073,1674,0.8177821201758672,0.42945100051308366
COLUMBUS PARK,0076,1010,0.8523206751054853,0.25910723447922013
COLUMBUS PARK,0077,396,0.2964071856287425,0.10159055926115956
CONCORDIA,0195,135,0.34704370179948585,0.1330049261083744
CONCORDIA,0198,570,1,0.5615763546798029
CONCORDIA,0199,310,0.610236220472441,0.3054187192118227
COOPER PARK,0085,312,0.18772563176895307,0.08402908699165096
COOPER PARK,0086,1676,1,0.4513870185833558
COOPER PARK,0087,979,1,0.2636681928359817
COOPER PARK,0088,746,0.5202231520223152,0.2009157015890116
COPERNICUS PARK,0313,587,0.20712773465067044,0.48114754098360657
COPERNICUS PARK,0314,540,0.4272151898734177,0.4426229508196721
COPERNICUS PARK,0315,93,0.03940677966101695,0.07622950819672131
DINEEN PARK,0070,405,0.16804979253112035,0.13946280991735538
DINEEN PARK,0091,2320,1,0.7988980716253443
DINEEN PARK,0092,2,9.033423667570009e-4,6.887052341597796e-4
DINEEN PARK,0094,177,0.3968609865470852,0.060950413223140494
DOWNER WOODS,0127,840,0.3794037940379404,0.3
DOWNER WOODS,0130,121,1,0.04321428571428571
DOWNER WOODS,0131,1839,0.7992177314211213,0.6567857142857143
DRETZKA PARK,0001,129,0.13550420168067226,1
ENDERIS PARK,0092,1538,0.6946702800361337,0.4912168636218461
ENDERIS PARK,0093,1037,1,0.3312040881507506
ENDERIS PARK,0164,243,0.14481525625744934,0.07761098690514212
ENDERIS PARK,0165,313,0.16973969631236444,0.09996806132226126
ESTABROOK PARK,0124,67,0.2012012012012012,1
EUCLID PARK,0271,1317,0.7057877813504824,1
FAIR PARK,0211,702,0.5904121110176619,0.48817802503477054
FAIR PARK,0212,736,0.3667164922770304,0.5118219749652295
FAIRFIELD,0019,96,0.0821917808219178,0.08735213830755233
FAIRFIELD,0020,16,0.009065155807365438,0.014558689717925387
FAIRFIELD,0021,986,0.9919517102615694,0.8971792538671519
FAIRFIELD,0023,1,0.0010787486515641855,9.099181073703367e-4
FAIRVIEW,0265,1376,1,0.31358249772105745
FAIRVIEW,0266,1553,1,0.35391978122151324
FAIRVIEW,0267,1459,1,0.33249772105742936
FERNWOOD,0299,1547,1,0.4173185864580523
FERNWOOD,0300,2160,0.999537251272559,0.5826814135419477
FLORIST HIGHLANDS,0033,1259,0.34017833018103216,1
FOREST HOME HILLS,0224,986,0.4939879759519038,0.27297895902547065
FOREST HOME HILLS,0256,268,0.19633699633699633,0.07419712070874862
FOREST HOME HILLS,0257,2318,1,0.641749723145072
FOREST HOME HILLS,0258,17,0.00684931506849315,0.004706533776301218
FOREST HOME HILLS,0284,1,9.363295880149813e-4,2.768549280177187e-4
FOREST HOME HILLS,0322,22,0.06547619047619048,0.006090808416389812
FRANKLIN HEIGHTS,0105,407,0.28011011699931176,0.05289148797920728
FRANKLIN HEIGHTS,0106,1172,1,0.15230669265756985
FRANKLIN HEIGHTS,0107,1501,0.9980053191489362,0.19506172839506172
FRANKLIN HEIGHTS,0108,1526,1,0.19831059129304743
FRANKLIN HEIGHTS,0109,1954,1,0.2539311241065627
FRANKLIN HEIGHTS,0110,1135,1,0.147498375568551
FREEDOM VILLAGE,0004,60,0.21897810218978103,1
GARDEN HOMES,0060,649,0.3991389913899139,0.32065217391304346
GARDEN HOMES,0061,1001,0.7338709677419355,0.4945652173913043
GARDEN HOMES,0063,374,0.334525939177102,0.18478260869565216
GOLDEN GATE,0008,873,0.3767803193785067,1
GOLDEN VALLEY,0080,724,0.575516693163752,0.19939410630680254
GOLDEN VALLEY,0081,1361,1,0.3748278711098871
GOLDEN VALLEY,0082,1106,0.6947236180904522,0.30459928394381713
GOLDEN VALLEY,0083,440,0.20599250936329588,0.12117873863949326
GOLDMAN PARK,0313,632,0.22300635144671843,0.38118214716525933
GOLDMAN PARK,0315,1026,0.4347457627118644,0.6188178528347407
GRA-RAM,0313,1615,0.5698659139026111,1
GRACELAND,0013,259,0.2670103092783505,0.09106891701828411
GRACELAND,0016,1795,0.8939243027888446,0.6311533052039381
GRACELAND,0017,433,0.3377535101404056,0.15225035161744022
GRACELAND,0019,356,0.3047945205479452,0.12517580872011252
GRACELAND,0024,1,0.0010214504596527069,3.5161744022503517e-4
GRANTOSA,0080,531,0.4220985691573927,1
GRANVILLE STATION,0001,288,0.3025210084033613,0.34657039711191334
GRANVILLE STATION,0006,305,0.12863770560944748,0.36702767749699156
GRANVILLE STATION,0007,238,0.1853582554517134,0.28640192539109505
GRANVILLE WOODS,0004,23,0.08394160583941605,1
GRASSLYN MANOR,0096,1297,0.6520864756158874,0.24956705791802963
GRASSLYN MANOR,0097,268,0.15464512406231967,0.05156821243024822
GRASSLYN MANOR,0098,1150,1,0.2212815085626323
GRASSLYN MANOR,0099,2006,0.916400182731841,0.3859919184144699
GRASSLYN MANOR,0100,476,0.345679012345679,0.09159130267461997
GREEN MOOR,0277,641,0.313600782778865,1
GROVER HEIGHTS,0118,322,0.20977198697068403,0.9969040247678018
GROVER HEIGHTS,0119,1,6.265664160401002e-4,0.0030959752321981426
HALYARD PARK,0142,252,0.1811646297627606,0.5874125874125874
HALYARD PARK,0175,177,0.5654952076677316,0.4125874125874126
HAMPTON HEIGHTS,0042,796,0.4270386266094421,0.11776890072495931
HAMPTON HEIGHTS,0044,1915,1,0.283325935789318
HAMPTON HEIGHTS,0046,1213,1,0.17946441781328598
HAMPTON HEIGHTS,0047,2106,1,0.31158455392809586
HAMPTON HEIGHTS,0050,729,0.6029776674937966,0.10785619174434088
HARAMBEE,0120,1460,1,0.14394163462486445
HARAMBEE,0121,1414,1,0.13940648723257418
HARAMBEE,0122,1808,1,0.1782510105491472
HARAMBEE,0123,1107,0.5253915519696251,0.10913930789707187
HARAMBEE,0139,1249,0.40816993464052287,0.12313911071675047
HARAMBEE,0140,851,1,0.08390022675736962
HARAMBEE,0141,1115,0.9823788546255506,0.10992802918268757
HARAMBEE,0142,1139,0.8188353702372394,0.11229419303953465
HARBOR VIEW,0235,28,0.024096385542168676,0.19444444444444445
HARBOR VIEW,0240,116,0.08460977388767323,0.8055555555555556
HARDER'S OAKS,0280,466,0.19695688926458157,1
HAVENWOODS,0023,531,0.5728155339805825,0.9499105545617174
HAVENWOODS,0024,28,0.028600612870275793,0.05008944543828265
HAWLEY FARMS,0268,1807,0.5893672537508154,1
HAWTHORNE GLEN,0203,8,0.004289544235924933,0.01873536299765808
HAWTHORNE GLEN,0204,419,0.2615480649188514,0.9812646370023419
HAYMARKET,0176,40,0.2094240837696335,1
HERITAGE HEIGHTS,0033,686,0.18535530937584438,1
HIGHWOOD ESTATES,0269,274,0.21339563862928349,0.1629013079667063
HIGHWOOD ESTATES,0270,1408,0.8979591836734694,0.8370986920332937
HILLSIDE,0175,2,0.006389776357827476,0.014925373134328358
HILLSIDE,0176,132,0.6910994764397905,0.9850746268656716
HILLTOP PARISH,0003,3,0.003161222339304531,1
HISTORIC MITCHELL STREET,0230,863,0.42387033398821217,0.1207668625804646
HISTORIC MITCHELL STREET,0231,900,0.7531380753138075,0.12594458438287154
HISTORIC MITCHELL STREET,0232,351,0.3238007380073801,0.0491183879093199
HISTORIC MITCHELL STREET,0237,1506,1,0.21074727120067172
HISTORIC MITCHELL STREET,0238,1909,1,0.2671424573187797
HISTORIC MITCHELL STREET,0239,1376,0.9046679815910585,0.19255527567870137
HISTORIC MITCHELL STREET,0240,241,0.17578409919766594,0.03372516092919116
HISTORIC THIRD WARD,0186,215,0.4820627802690583,1
HOLLER PARK,0316,563,0.36990801576872534,1
HONEY CREEK MANOR,0278,1404,1,0.4722502522704339
HONEY CREEK MANOR,0279,1569,0.6510373443983403,0.5277497477295661
HONEY CREEK PARKWAY,0209,1376,0.9575504523312457,1
JACKSON PARK,0260,321,0.3929008567931457,0.042477173481540294
JACKSON PARK,0261,1115,1,0.1475453222178113
JACKSON PARK,0262,2160,1,0.28582770940849545
JACKSON PARK,0263,854,1,0.11300780733095143
JACKSON PARK,0264,427,0.2051898125901009,0.05650390366547572
JACKSON PARK,0280,1437,0.6073541842772612,0.19015482334259626
JACKSON PARK,0281,1243,0.7793103448275862,0.16448326055312956
JOHNSON'S WOODS,0212,1271,0.6332835077229696,0.43304940374787054
JOHNSON'S WOODS,0213,1664,0.9993993993993994,0.5669505962521295
JUNEAU TOWN,0181,3,0.08333333333333333,0.00964630225080386
JUNEAU TOWN,0183,21,0.01675977653631285,0.06752411575562701
JUNEAU TOWN,0184,19,0.2111111111111111,0.06109324758842444
JUNEAU TOWN,0185,37,0.6166666666666667,0.1189710610932476
JUNEAU TOWN,0186,231,0.5179372197309418,0.7427652733118971
KILBOURN TOWN,0176,5,0.02617801047120419,0.023923444976076555
KILBOURN TOWN,0187,79,0.8681318681318682,0.37799043062200954
KILBOURN TOWN,0188,54,1,0.2583732057416268
KILBOURN TOWN,0189,71,0.1375968992248062,0.3397129186602871
KING PARK,0174,426,0.2860980523841504,0.5649867374005305
KING PARK,0189,315,0.6104651162790697,0.4177718832891247
KING PARK,0192,13,0.027196652719665274,0.017241379310344827
KOPS PARK,0083,1503,0.7036516853932584,0.4178482068390325
KOPS PARK,0084,1406,0.8859483301827347,0.3908812899638588
KOPS PARK,0088,688,0.4797768479776848,0.1912705031971087
LAND BANK,0004,6,0.021897810218978103,0.024793388429752067
LAND BANK,0005,173,0.37044967880085655,0.7148760330578512
LAND BANK,0009,38,0.028358208955223882,0.15702479338842976
LAND BANK,0014,25,0.6756756756756757,0.10330578512396695
LAYTON PARK,0217,280,0.14909478168264112,0.0426049908703591
LAYTON PARK,0218,487,0.20531197301854975,0.07410225197808887
LAYTON PARK,0221,368,0.14341387373343725,0.05599513085818624
LAYTON PARK,0223,909,0.3957335655202438,0.13831405964698723
LAYTON PARK,0258,2465,0.9931506849315068,0.37507608034083995
LAYTON PARK,0259,1612,1,0.24528301886792453
LAYTON PARK,0260,451,0.5520195838433293,0.06862446743761412
LENOX HEIGHTS,0092,674,0.3044263775971093,0.43483870967741933
LENOX HEIGHTS,0094,215,0.4820627802690583,0.13870967741935483
LENOX HEIGHTS,0164,661,0.39392133492252684,0.4264516129032258
LINCOLN CREEK,0063,15,0.013416815742397137,0.0024675111037999672
LINCOLN CREEK,0065,2029,1,0.33377200197400886
LINCOLN CREEK,0066,588,1,0.09672643526895872
LINCOLN CREEK,0067,135,0.09985207100591716,0.022207599934199705
LINCOLN CREEK,0068,804,0.3500217675228559,0.13225859516367824
LINCOLN CREEK,0069,1885,1,0.3100838953775292
LINCOLN CREEK,0071,623,0.43966125617501767,0.1024839611778253
LINCOLN PARK,0055,1045,0.4405564924114671,0.23541338139220544
LINCOLN PARK,0056,822,1,0.18517684163099798
LINCOLN PARK,0057,1520,1,0.3424194638432079
LINCOLN PARK,0058,895,0.6689088191330343,0.20162198693399414
LINCOLN PARK,0059,1,3.6231884057971015e-4,2.2527596305474206e-4
LINCOLN PARK,0062,156,0.1422060164083865,0.03514305023653976
LINCOLN VILLAGE,0249,1238,0.7656153370439085,0.13806178208988512
LINCOLN VILLAGE,0250,1202,1,0.13404706144752984
LINCOLN VILLAGE,0251,1045,1,0.11653841864614699
LINCOLN VILLAGE,0252,464,0.3118279569892473,0.05174528827924613
LINCOLN VILLAGE,0253,644,1,0.07181889149102264
LINCOLN VILLAGE,0254,860,1,0.09590721534515445
LINCOLN VILLAGE,0255,1023,1,0.11408497825359652
LINCOLN VILLAGE,0256,1097,0.8036630036630037,0.12233745957399353
LINCOLN VILLAGE,0323,906,1,0.10103713616594179
LINCOLN VILLAGE,0324,488,1,0.05442176870748299
LINDSAY PARK,0078,1729,1,0.45632092900501453
LINDSAY PARK,0079,2060,1,0.5436790709949855
LITTLE MENOMONEE PARKWAY,0032,766,0.2758372344256392,0.8183760683760684
LITTLE MENOMONEE PARKWAY,0033,170,0.04593353147797893,0.18162393162393162
LONG VIEW,0036,3,0.0029498525073746312,9.633911368015414e-4
LONG VIEW,0038,411,0.6246200607902735,0.13198458574181118
LONG VIEW,0039,1632,1,0.5240847784200385
LONG VIEW,0042,1068,0.572961373390558,0.34296724470134876
LOWER EAST SIDE,0135,19,0.021764032073310423,0.004719324391455539
LOWER EAST SIDE,0178,1439,1,0.3574267262791853
LOWER EAST SIDE,0179,962,1,0.23894684550422254
LOWER EAST SIDE,0180,61,0.12448979591836734,0.015151515151515152
LOWER EAST SIDE,0181,2,0.05555555555555555,4.967709885742673e-4
LOWER EAST SIDE,0182,311,1,0.07724788872329856
LOWER EAST SIDE,0183,1232,0.9832402234636871,0.30601092896174864
LYONS PARK,0268,674,0.21983039791258968,0.4448844884488449
LYONS PARK,0279,841,0.34896265560165973,0.5551155115511551
MACK ACRES,0008,218,0.09408718170047475,1
MAITLAND PARK,0314,724,0.5727848101265823,0.6954851104707013
MAITLAND PARK,0315,281,0.11906779661016949,0.26993275696445723
MAITLAND PARK,0316,36,0.023653088042049936,0.0345821325648415
MAPLE TREE,0008,82,0.035390591281829954,0.0779467680608365
MAPLE TREE,0032,970,0.34929780338494776,0.9220532319391636
MARQUETTE,0191,2,0.07407407407407407,1
MARTIN DRIVE,0201,426,0.5496774193548387,0.24912280701754386
MARTIN DRIVE,0202,1284,0.894773519163763,0.7508771929824561
MC GOVERN PARK,0045,1029,0.650853889943074,0.3237885462555066
MC GOVERN PARK,0048,1055,1,0.33196979232221524
MC GOVERN PARK,0049,1094,0.9374464438731791,0.3442416614222782
MELODY VIEW,0009,758,0.5656716417910448,1
MENOMONEE RIVER HILLS,0008,42,0.01812688821752266,0.006486486486486486
MENOMONEE RIVER HILLS,0009,493,0.367910447761194,0.07613899613899613
MENOMONEE RIVER HILLS,0010,2345,1,0.3621621621621622
MENOMONEE RIVER HILLS,0011,2030,1,0.31351351351351353
MENOMONEE RIVER HILLS,0028,262,1,0.04046332046332046
MENOMONEE RIVER HILLS,0029,386,1,0.05961389961389962
MENOMONEE RIVER HILLS,0030,375,0.29024767801857587,0.05791505791505792
MENOMONEE RIVER HILLS,0032,542,0.19517464890169248,0.08370656370656371
